latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,city
53.2464,-116.8262,372.5,1.3,1.1,2008-02-20,2057,Aqua,MODIS,100,6.03,281.9,178.1,D,0,Edson
53.2583,-116.8103,318.8,1.3,1.1,2008-02-20,2057,Aqua,MODIS,68,6.03,278.7,26.2,D,0,Edson
53.2564,-116.8289,365.7,1.3,1.1,2008-02-20,2057,Aqua,MODIS,100,6.03,281.4,146.7,D,0,Edson
53.745,-116.5476,308.6,1.0,1.0,2008-02-22,1858,Terra,MODIS,67,6.03,272.9,13.8,D,0,Edson
53.7429,-116.5327,329.5,1.0,1.0,2008-02-22,1858,Terra,MODIS,86,6.03,273.6,33.7,D,0,Edson
53.7397,-116.5423,335.7,1.1,1.0,2008-02-22,2045,Aqua,MODIS,90,6.03,275.9,44.7,D,0,Edson
53.7581,-116.6692,337.8,1.5,1.2,2008-02-26,1834,Terra,MODIS,88,6.03,271.9,78.7,D,0,Edson
53.3653,-116.6678,305.9,1.2,1.1,2008-02-27,1917,Terra,MODIS,62,6.03,274.8,13.6,D,0,Edson
53.3262,-116.6949,350.6,1.2,1.1,2008-02-27,1917,Terra,MODIS,96,6.03,277.4,84.6,D,0,Edson
53.3233,-116.7171,308.4,1.5,1.2,2008-02-27,2104,Aqua,MODIS,67,6.03,277.8,21.2,D,0,Edson
53.3573,-116.7029,318.5,1.5,1.2,2008-02-27,2104,Aqua,MODIS,52,6.03,278.7,31.4,D,0,Edson
53.3679,-116.7056,320.2,1.5,1.2,2008-02-27,2104,Aqua,MODIS,67,6.03,278.5,34.7,D,0,Edson
53.3692,-116.685,323.1,1.0,1.0,2008-03-02,1852,Terra,MODIS,82,6.03,268.0,28.6,D,0,Edson
53.3672,-116.6697,315.9,1.0,1.0,2008-03-02,1852,Terra,MODIS,76,6.03,267.6,21.3,D,0,Edson
53.3592,-116.6706,301.0,1.0,1.0,2008-03-02,2039,Aqua,MODIS,21,6.03,272.3,7.6,D,0,Edson
53.3571,-116.6854,329.9,1.0,1.0,2008-03-02,2039,Aqua,MODIS,86,6.03,273.9,32.7,D,0,Edson
53.368,-116.6741,302.2,1.0,1.0,2008-03-02,2039,Aqua,MODIS,51,6.03,272.1,9.4,D,0,Edson
53.366,-116.689,321.1,1.0,1.0,2008-03-02,2039,Aqua,MODIS,81,6.03,273.6,23.8,D,0,Edson
53.3022,-116.6714,306.6,1.1,1.0,2008-03-04,2027,Aqua,MODIS,0,6.03,271.5,13.9,D,0,Edson
53.5192,-116.4272,312.0,1.0,1.0,2008-03-09,0528,Terra,MODIS,84,6.03,270.5,17.1,N,0,Edson
53.2051,-116.7887,300.3,3.8,1.8,2008-05-09,2006,Terra,MODIS,33,6.03,275.9,55.0,D,0,Edson
53.735,-115.9995,300.3,1.4,1.2,2008-06-19,2010,Aqua,MODIS,20,6.03,288.5,3.7,D,0,Edson
53.7773,-116.1114,301.9,1.4,1.2,2008-11-26,2012,Aqua,MODIS,38,6.03,271.4,15.6,D,0,Edson
53.4049,-116.759,340.0,1.2,1.1,2008-12-11,1918,Terra,MODIS,0,6.03,267.0,60.2,D,0,Edson
53.8069,-116.3385,314.3,1.5,1.2,2008-12-27,2108,Aqua,MODIS,37,6.03,267.3,31.9,D,0,Edson
53.8326,-116.3117,338.4,1.5,1.2,2009-01-10,1930,Terra,MODIS,86,6.03,272.4,81.9,D,0,Edson
53.8279,-116.2897,311.5,1.5,1.2,2009-01-10,1930,Terra,MODIS,50,6.03,271.2,26.7,D,0,Edson
53.8249,-116.3121,323.0,2.1,1.4,2009-01-10,2120,Aqua,MODIS,72,6.03,271.2,76.6,D,0,Edson
53.8377,-116.3147,312.3,2.1,1.4,2009-01-10,2120,Aqua,MODIS,40,6.03,271.3,45.3,D,0,Edson
53.9748,-116.6726,306.3,2.3,1.5,2009-01-15,1948,Terra,MODIS,48,6.03,271.8,39.8,D,0,Edson
53.9727,-116.6761,332.1,1.9,1.3,2009-01-15,2001,Aqua,MODIS,76,6.03,274.1,89.1,D,0,Edson
53.9771,-116.6857,329.1,1.9,1.3,2009-01-15,2001,Aqua,MODIS,65,6.03,275.0,81.8,D,0,Edson
53.9781,-116.6664,320.3,3.4,1.7,2009-01-15,2139,Aqua,MODIS,70,6.03,276.1,131.4,D,0,Edson
54.0518,-116.1191,361.4,1.5,1.2,2009-01-26,1930,Terra,MODIS,91,6.03,266.2,0.0,D,0,Edson
53.6437,-116.8221,312.7,2.3,1.5,2009-02-09,1955,Aqua,MODIS,55,6.03,268.8,55.3,D,0,Edson
53.6412,-116.7888,314.9,1.1,1.1,2009-02-10,1847,Terra,MODIS,71,6.03,267.0,23.5,D,0,Edson
53.6407,-116.8035,314.9,1.0,1.0,2009-02-10,2038,Aqua,MODIS,65,6.03,267.2,19.1,D,0,Edson
53.6384,-116.8183,300.9,1.0,1.0,2009-02-10,2038,Aqua,MODIS,37,6.03,267.4,9.7,D,0,Edson
54.044,-116.1633,339.2,2.2,1.4,2009-02-11,2121,Aqua,MODIS,0,6.03,268.5,151.2,D,0,Edson
53.9426,-116.5493,320.5,1.0,1.0,2009-02-17,2044,Aqua,MODIS,80,6.03,269.0,24.5,D,0,Edson
53.1648,-116.1697,310.8,1.4,1.2,2009-02-20,1924,Terra,MODIS,71,6.03,269.2,24.9,D,0,Edson
53.1607,-116.1501,314.3,1.4,1.2,2009-02-20,1924,Terra,MODIS,75,6.03,268.9,29.4,D,0,Edson
53.1608,-116.1695,308.3,1.8,1.3,2009-02-20,2115,Aqua,MODIS,67,6.03,270.4,32.1,D,0,Edson
53.2083,-116.8088,329.0,1.0,1.0,2009-05-24,1853,Terra,MODIS,86,6.03,293.5,27.1,D,0,Edson
53.2064,-116.7936,312.5,1.0,1.0,2009-05-24,1853,Terra,MODIS,72,6.03,291.8,9.6,D,0,Edson
53.6745,-116.6141,303.6,1.0,1.0,2009-06-09,2044,Aqua,MODIS,22,6.03,292.5,2.9,D,0,Edson
54.0284,-116.8183,306.7,1.2,1.1,2009-07-04,1846,Terra,MODIS,32,6.03,287.8,7.5,D,0,Edson
53.2359,-116.9107,305.0,1.3,1.1,2009-07-29,1840,Terra,MODIS,51,6.03,293.4,6.4,D,0,Edson
53.538,-116.5929,300.4,1.0,1.0,2009-11-16,1853,Terra,MODIS,35,6.03,275.5,8.7,D,0,Edson
